Player,Predicted PPG
Troy Brown Jr.,5.392941889974824
Jalen Brunson,26.672108223949344
Thomas Bryant,5.660094200877895
Kobe Bufkin,5.192594830189789
Reggie Bullock,2.2142380693179087
Alec Burks,9.698255595314212
Jared Butler,5.782359211256356
Jimmy Butler,18.24118169869474
Jamal Cain,3.965011235461874
Kentavious Caldwell-Pope,9.934477911179972
Toumani Camara,7.547379483316754
Clint Capela,10.38677013133571
Jevon Carter,5.558501035122216
Wendell Carter Jr.,9.922014473619198
D.J. Carton,2.3709936640842986
Alex Caruso,9.28886484779431
Colin Castleton,2.0101511064109476
Malcolm Cazalon,1.648281686324892
Julian Champagnie,8.639354580880696
Justin Champagnie,5.405776251468644
Max Christie,5.8670742307131025
Sidy Cissoko,3.715735539891499
Brandon Clarke,8.891058538272915
Jordan Clarkson,14.397251967472776
Nic Claxton,11.614982646868555
Noah Clowney,5.526940615931526
Amir Coffey,6.516059330827444
John Collins,14.558712098224623
Zach Collins,9.98038163165491
Mike Conley,9.017249266025948
Pat Connaughton,4.357910031093829
Bilal Coulibaly,8.553030572784944
Ricky Council IV,6.07568122826977
Robert Covington,3.1651428843523854
Torrey Craig,3.91047906646127
Jae Crowder,5.0426227084078885
Jalen Crutcher,1.7130380482882073
Cade Cunningham,21.29545672085745
Seth Curry,4.413691309270257
Stephen Curry,23.652640024992373
Dyson Daniels,6.395101573449752
Anthony Davis,24.293991814590804
Johnny Davis,4.339627744237853
JD Davison,2.327797025002127
Dexter Dennis,5.509649752166395
DeMar DeRozan,22.574301224560955
Moussa Diabaté,2.7855888423528654
Mamadi Diakite,1.989936109607715
Hamidou Diallo,1.8320205069820177
Gradey Dick,8.938042427884678
Ousmane Dieng,4.602057700917241
Spencer Dinwiddie,8.93026606018806
Donte DiVincenzo,14.971489593880477
Luka Dončić,30.96900473745267
Luguentz Dort,11.082181450681514
Ayo Dosunmu,11.186649374494486
Jeff Dowtin,3.468211981384364
Henri Drell,2.6063199313563823
Andre Drummond,7.931207254980853
Chris Duarte,4.635239858555265
David Duke Jr.,5.475504866416376
Kris Dunn,4.7387709968010245
Kevin Durant,25.59697466257183
Jalen Duren,13.107200863539832
Tari Eason,9.1105398230597
Anthony Edwards,26.402404203795314
Kessler Edwards,3.4615740264204975
Keon Ellis,5.4268639252938815
Joel Embiid,31.852093740852574
Drew Eubanks,5.464137724771902
Tosan Evbuomwan,4.363598492552129
Dante Exum,6.357474527819176
Bruno Fernando,5.603688843389413
Dorian Finney-Smith,7.3233615650710036
Adam Flagler,1.9555980801829098
Malachi Flynn,6.269455623972822
Simone Fontecchio,9.76005171342132
Jordan Ford,2.257350842243812
Trent Forrest,2.320304867467197
Evan Fournier,6.009216783029261
De'Aaron Fox,25.378517597179396
Javon Freeman-Liberty,6.255133007947586
Alex Fudge,3.4739205072449533
Markelle Fultz,7.312907715272574
Andrew Funk,1.9972768528199047
Wenyen Gabriel,2.2980334616860074
Daniel Gafford,10.665808621114495
Danilo Gallinari,4.645107773036019
Darius Garland,16.324930723611057
Usman Garuba,2.23109090994423
Luka Garza,3.930401922032656
Kaiser Gates,1.9161802240015255
Keyonte George,13.33193239240257
Paul George,21.41224889517811
Taj Gibson,-0.22340967424059066
Josh Giddey,13.481057832998951
Harry Giles,2.947213724381606
Shai Gilgeous-Alexander,29.6563583932965
Anthony Gill,3.762125883940154
Collin Gillespie,3.7328426413228115
Jacob Gilyard,3.4053445518298515
Rudy Gobert,12.243554577518278
Jordan Goodwin,6.4491972165462785
Aaron Gordon,12.096445415898046
Eric Gordon,9.541897391632649
Devonte' Graham,4.079538438962873
Jerami Grant,19.272967350543954
RaiQuan Gray,6.546249517386089
A.J. Green,4.991406029467369
Danny Green,-0.12011319764108119
Draymond Green,6.031738920664386
Jalen Green,21.070865232129577
Javonte Green,9.135145316487291
Jeff Green,5.483483624360055
Josh Green,7.493114218977016
AJ Griffin,3.75482444694734
Quentin Grimes,7.092784334307762
Mouhamadou Gueye,2.6970549513398856
Mouhamed Gueye,3.266676525040951
Rui Hachimura,13.313814109620548
Ashton Hagans,2.692167499507243
Tyrese Haliburton,17.353208471647186
R.J. Hampton,1.1052107329008756
Tim Hardaway Jr.,13.322996589799772
James Harden,13.512551674193597
Jaden Hardy,8.629496329888191
Ron Harper Jr.,-0.07723413841283744
Gary Harris,5.759511919569842
Joe Harris,1.2112668889993845
Kevon Harris,1.802843430729327
Tobias Harris,16.85407143765164
Shaquille Harrison,1.340812471087769
Josh Hart,8.378364587206406
Isaiah Hartenstein,6.77083056505801
Sam Hauser,8.638234035923997
Jordan Hawkins,8.612136203880606
Jaxson Hayes,4.846144576018231
Killian Hayes,6.338186417631281
Gordon Hayward,8.329795405600038
Scoot Henderson,12.892471538908458
Taylor Hendricks,7.408367512206803
Tyler Herro,19.059700743093074
Buddy Hield,10.929736560731259
Haywood Highsmith,5.866562681039327
Nate Hinton,2.4330383792551027
D'Moi Hodge,1.925758480256949
Aaron Holiday,6.410256645239406
Jrue Holiday,10.527363480647232
Justin Holiday,3.274461975441786
Richaun Holmes,3.7581426260707715
Chet Holmgren,17.58717896993978
Jalen Hood-Schifino,3.2528060470549356
Al Horford,6.36390776257737
Talen Horton-Tucker,9.841008520454512
Danuel House Jr.,3.1085125757540952
Caleb Houstan,5.121638477984357
Jett Howard,3.0881493061530763
Kevin Huerter,9.968365457903138
Jay Huff,1.7468779277298774
De'Andre Hunter,14.444830606352024
Matthew Hurt,3.286472501965761
Bones Hyland,6.958581694797849
Joe Ingles,2.656904283235126
Brandon Ingram,19.318578680440687
Kyrie Irving,23.133105099958982
Jonathan Isaac,7.251930694274093
Jaden Ivey,14.975106041166738
Andre Jackson Jr.,2.7322922679958785
GG Jackson II,14.38643273418576
Isaiah Jackson,6.460851576960492
Jaren Jackson Jr.,22.475723746334168
Justin Jackson,1.2078661483778323
Quenton Jackson,1.8554200095652473
Reggie Jackson,8.835656664776593
Trayce Jackson-Davis,7.66395078617181
LeBron James,22.390647231193675
Jaime Jaquez Jr.,11.392463796584217
DeJon Jarreau,3.6805710118178636
DaQuan Jeffries,1.927995356240567
Trey Jemison,4.52728730526693
Ty Jerome,0.9012650968698823
Isaiah Joe,8.363971929475507
Cameron Johnson,12.231512696143723
Jalen Johnson,15.661432578351894
James Johnson,0.1861517447429728
Keldon Johnson,14.279078730842324
Keon Johnson,6.1653426339855955
Keyontae Johnson,1.9449841994502473
Nikola Jokić,23.669526350569996
Colby Jones,3.0211627668928998
Damian Jones,3.021164621151601
Derrick Jones Jr.,9.361909949218266
Herbert Jones,10.760707040461938
Mason Jones,1.6610708525746767
Tre Jones,9.14321629846161
Tyus Jones,10.660869952333545
DeAndre Jordan,1.9971827348804996
Cory Joseph,1.1807535475118884
Nikola Jović,8.061010700313485
Johnny Juzang,5.636695762993783
